QuestionId_01,Power Switch,Power Switch copy,power_switch,1
QuestionId_02,Tricolor LED,Tricolor LED copy,led_tricolor,1
QuestionId_03,Red LED,Red LED copy,led_red,1
QuestionId_04,Green LED, copy,led_green,1
QuestionId_05,Tricolor LED,Tricolor LED copy,led_tricolor,1
QuestionId_06,Capacitor Lg 001,Capacitor Lg 001 copy,capacitor_lg_001,1
QuestionId_07,Trim Potentiometer,Trim Potentiometer copy,potentiometer_trim,1
QuestionId_08,Transformer,Transformer copy,transformer,1
QuestionId_09,Servomotor,Servomotor copy,servomotor_micro,1
QuestionId_10,Transformer,Transformer copy,transformer,1
QuestionId_11,PCI Slots,PCI Slots copy,pci_slots,1
QuestionId_12,PS/2 Ports,PS/2 Ports copy,ps_2_ports,1
QuestionId_13,VGA Connector,VGA Connector copy,vga_connector,1
QuestionId_14,PCI Slots,PCI Slots copy,pci_slots,1
QuestionId_15,RAM,RAM copy,memory_stick,1
QuestionId_16,Switch (DPDT),Switch (DPDT) copy,switch_dpdt,1
QuestionId_17,Power Switch,Power Switch copy,power_switch,1
QuestionId_18,Switch (SPST),Switch (SPST) copy,switch_spst,1
QuestionId_19,Sleep Switch Display,Sleep Switch Display copy,sleep_switch_display,1
QuestionId_20,Switch (SPST),Switch (SPST) copy,switch_spst,1
